Name,Lat,Lon,zip_code,ATM_Split
ATM (Atlantic Specialty Lines Inc),37.5541685,-77.569024,23235,Non-Bank
ATM (Street Corner),37.5084585,-77.609682,23235,Non-Bank
Cardtronics,37.5034829,-77.604646,23235,Non-Bank
Cardtronics ATM,37.50933,-77.598565,23235,Non-Bank
Wells Fargo Bank,37.4468951,-77.572891,23236,Bank
Access to Money,37.5971379,-77.606578,23238,Non-Bank
Bank of Virginia,37.596231,-77.603868,23238,Bank
Patterson BP,37.5970021,-77.605156,23238,Non-Bank
ATM (Broad & Pemberton Exxon),37.6402329,-77.56058,23294,Non-Bank
ATM Henrico Fcu,37.6384107,-77.556495,23294,Bank
Citibank ATM,37.6402722,-77.558352,23294,Bank
Henrico Federal Credit Union,37.6384347,-77.556492,23294,Bank
Virginia Credit Union,37.64012,-77.557642,23294,Bank
Wells Fargo Bank,37.5407618,-77.430817,23298,Bank
Bank of America ATM,37.2364644,-77.419876,23806,Bank
ATM Argent Federal Cu,37.3569809,-77.445593,23831,Bank
Bank of America ATM,37.3538035,-77.413954,23831,Bank
Bank of Virginia,37.3572625,-77.441577,23831,Bank
Cardtronics ATM,37.3567921,-77.446262,23831,Non-Bank
Faison Financial of Virginia,37.3593452,-77.434115,23831,Bank
"Nationallink, Inc.",37.3561651,-77.446779,23831,Non-Bank
SunTrust,37.352934,-77.411922,23831,Bank
Village Bank (Chester),37.35622,-77.445489,23831,Bank
Wells Fargo Bank,37.355407,-77.448418,23831,Bank
Partners Financial Federal Credit Union,37.4031201,-77.690211,23832,Bank
Virginia Credit Union,37.4032813,-77.672491,23832,Bank
ATM (Uppy's),37.2897716,-77.597083,23838,Non-Bank
Cardtronics ATM,37.354418,-77.595755,23838,Non-Bank
Uppy's,37.2896301,-77.596916,23838,Non-Bank
ATM (Petrol Midget Mart),37.29124,-77.292579,23860,Non-Bank
SunTrust,37.3028783,-77.287483,23860,Bank
