Name,Lat,Lon,zip_code,,,,
SunTrust,37.352934,-77.411922,23831,,,,
Village Bank (Chester),37.35622,-77.445489,23831,,,,
Wells Fargo Bank,37.355407,-77.448418,23831,,,,
Partners Financial Federal Credit Union,37.4031201,-77.690211,23832,,,,
Virginia Credit Union,37.4032813,-77.672491,23832,,,,
ATM (Uppy's),37.2897716,-77.597083,23838,,,,
Cardtronics ATM,37.354418,-77.595755,23838,,,,
Uppy's,37.2896301,-77.596916,23838,,,,
ATM (Petrol Midget Mart),37.29124,-77.292579,23860,,,,
SunTrust,37.3028783,-77.287483,23860,,,,
