,name,lat,lon,zipcode
1176,ATM Express,37.5564544,-77.46071839999999,23220
1177,ATM,37.55559520000001,-77.4664793,23220
1178,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1179,ATM Express,37.5564544,-77.46071839999999,23220
1180,ATM,37.55559520000001,-77.4664793,23220
1181,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1182,ATM Express,37.5564544,-77.46071839999999,23220
1183,ATM,37.55559520000001,-77.4664793,23220
1184,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1185,ATM Express,37.5564544,-77.46071839999999,23220
1186,ATM,37.55559520000001,-77.4664793,23220
1187,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1188,ATM Express,37.5564544,-77.46071839999999,23220
1189,ATM,37.55559520000001,-77.4664793,23220
1190,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1191,ATM Express,37.5564544,-77.46071839999999,23220
1192,ATM,37.55559520000001,-77.4664793,23220
1193,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1194,ATM Express,37.5564544,-77.46071839999999,23220
1195,ATM,37.55559520000001,-77.4664793,23220
1196,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1197,ATM Express,37.5564544,-77.46071839999999,23220
1198,ATM,37.55559520000001,-77.4664793,23220
1199,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1200,ATM Express,37.5564544,-77.46071839999999,23220
1201,ATM,37.55559520000001,-77.4664793,23220
1202,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1203,ATM Express,37.5564544,-77.46071839999999,23220
1204,ATM,37.55559520000001,-77.4664793,23220
1205,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1206,ATM Express,37.5564544,-77.46071839999999,23220
1207,ATM,37.55559520000001,-77.4664793,23220
1208,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1209,ATM Express,37.5564544,-77.46071839999999,23220
1210,ATM,37.55559520000001,-77.4664793,23220
1211,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1212,ATM Express,37.5564544,-77.46071839999999,23220
1213,ATM,37.55559520000001,-77.4664793,23220
1214,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1215,ATM Express,37.5564544,-77.46071839999999,23220
1216,ATM,37.55559520000001,-77.4664793,23220
1217,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1218,ATM Express,37.5564544,-77.46071839999999,23220
1219,ATM,37.55559520000001,-77.4664793,23220
1220,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1221,ATM Express,37.5564544,-77.46071839999999,23220
1222,ATM,37.55559520000001,-77.4664793,23220
1223,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1224,ATM Express,37.5564544,-77.46071839999999,23220
1225,ATM,37.55559520000001,-77.4664793,23220
1226,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1227,ATM Express,37.5564544,-77.46071839999999,23220
1228,ATM,37.55559520000001,-77.4664793,23220
1229,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1230,ATM Express,37.5564544,-77.46071839999999,23220
1231,ATM,37.55559520000001,-77.4664793,23220
1232,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1233,ATM Express,37.5564544,-77.46071839999999,23220
1234,ATM,37.55559520000001,-77.4664793,23220
1235,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1236,ATM Express,37.5564544,-77.46071839999999,23220
1237,ATM,37.55559520000001,-77.4664793,23220
1238,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1239,ATM Express,37.5564544,-77.46071839999999,23220
1240,ATM,37.55559520000001,-77.4664793,23220
1241,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1242,ATM Express,37.5564544,-77.46071839999999,23220
1243,ATM,37.55559520000001,-77.4664793,23220
1244,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1245,ATM Express,37.5564544,-77.46071839999999,23220
1246,ATM,37.55559520000001,-77.4664793,23220
1247,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1248,ATM Express,37.5564544,-77.46071839999999,23220
1249,ATM,37.55559520000001,-77.4664793,23220
1250,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1251,ATM Express,37.5564544,-77.46071839999999,23220
1252,ATM,37.55559520000001,-77.4664793,23220
1253,"ATM 7ELEVEN, INC.",37.5565667,-77.4611845,23220
1254,ATM Express,37.5564544,-77.46071839999999,23220
