index,Zipcode,Population,White Population,Black Population,Hispanic Population,Asian Population,Median Age,Employment Rate,Unemployment Rate,Household Income,Per Capita Income,Avg Rent,Avg Rent & Utilities,Median Home Value,Avg Monthly Cost of Home,No HSch Ed,HSch/GED,Associate College,Bachelors,Masters,Professional,Doctorate,Poverty Count,Poverty Rate,White Poverty,Black Poverty,Hispanic Poverty,Asian Poverty
7129,23230,6270.0,4383.0,1118.0,387.0,259.0,41.2,62.88676236044657,26.475279106858054,51795.0,35054.0,879.0,1013.0,186400.0,1392.0,79.0,1256,273.0,1262.0,418.0,37.0,131.0,791.0,12.615629984051036,263.0,375.0,28.0,90.0
7130,23231,37523.0,13376.0,22386.0,1012.0,193.0,39.4,53.01814886869387,26.852863577006104,54222.0,27560.0,785.0,963.0,176400.0,1409.0,407.0,8217,1873.0,3921.0,1459.0,241.0,180.0,6505.0,17.336033899208484,1212.0,5023.0,108.0,0.0
7131,23233,30680.0,23539.0,1913.0,758.0,4489.0,38.3,58.95045632333768,19.60560625814863,103404.0,50678.0,1132.0,1258.0,338100.0,1900.0,107.0,2288,889.0,9119.0,3605.0,1026.0,610.0,1312.0,4.276401564537157,904.0,158.0,173.0,143.0
7132,23234,44319.0,16694.0,21889.0,9564.0,1045.0,34.4,54.13930819738712,23.84079063155757,46861.0,23345.0,811.0,971.0,158800.0,1219.0,573.0,9605,2101.0,2986.0,1358.0,302.0,147.0,8666.0,19.553690290845914,3985.0,3429.0,2742.0,128.0
7133,23235,31936.0,22467.0,6330.0,2368.0,922.0,43.2,55.67384769539078,27.345315631262526,73930.0,37789.0,1073.0,1247.0,220000.0,1495.0,240.0,4478,1734.0,5921.0,3314.0,672.0,522.0,1915.0,5.996367735470942,1387.0,240.0,487.0,0.0
7134,23236,26534.0,18588.0,5481.0,1805.0,1106.0,41.7,54.45089319363835,26.43400919574885,76572.0,35689.0,1061.0,1213.0,208200.0,1445.0,174.0,4749,1727.0,4384.0,2081.0,316.0,279.0,1860.0,7.0098741237657345,1120.0,459.0,420.0,40.0
7136,23238,26133.0,20676.0,3180.0,1369.0,1186.0,44.4,54.884628630467226,27.448054184364597,74856.0,46132.0,982.0,1123.0,288000.0,1725.0,71.0,2968,1158.0,6049.0,2859.0,810.0,518.0,1943.0,7.4350438143343665,1220.0,395.0,375.0,76.0
7138,23294,17848.0,10152.0,3058.0,1107.0,3603.0,32.0,57.401389511429855,21.571044374719857,55667.0,28965.0,1003.0,1136.0,197700.0,1433.0,237.0,2495,954.0,3091.0,1315.0,319.0,146.0,1834.0,10.275661138502914,1018.0,414.0,407.0,192.0
7259,23806,1788.0,36.0,1726.0,35.0,0.0,19.4,45.19015659955257,54.80984340044743,-666666666.0,2952.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7266,23831,36682.0,24524.0,9231.0,2708.0,830.0,38.4,52.74248950438908,25.772858622757756,73966.0,31454.0,1025.0,1189.0,221300.0,1490.0,130.0,6250,2776.0,4673.0,2882.0,305.0,241.0,2226.0,6.068371408320157,1078.0,776.0,150.0,7.0
7267,23832,35523.0,24222.0,8631.0,3548.0,1089.0,37.2,55.45984291867241,23.17371843594291,84134.0,32835.0,1038.0,1321.0,211400.0,1535.0,218.0,6461,2161.0,5442.0,2053.0,271.0,397.0,2370.0,6.671733806266363,1651.0,313.0,657.0,157.0
7272,23838,16426.0,13877.0,1972.0,245.0,110.0,45.2,55.162547181297946,24.15073663703884,112024.0,44003.0,1083.0,1236.0,323500.0,1949.0,68.0,2438,984.0,2770.0,1220.0,337.0,190.0,886.0,5.393887738950444,789.0,74.0,0.0,2.0
7286,23860,30983.0,15814.0,12624.0,2224.0,425.0,37.8,43.29148242584643,38.03053287286576,43016.0,22984.0,660.0,841.0,137000.0,1070.0,340.0,8028,1726.0,2327.0,842.0,155.0,130.0,5361.0,17.303037149404513,2310.0,2625.0,388.0,43.0
